Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,84.1375,-19.84375,0.0,bottom
C10,100nF,C_0402_1005Metric,93.6625,-38.89375,0.0,bottom
C100,100nF,C_0402_1005Metric,124.61875,-82.55,180.0,bottom
C101,100nF,C_0402_1005Metric,143.66875,-82.55,180.0,bottom
C102,100nF,C_0402_1005Metric,162.71875,-82.55,180.0,bottom
C103,100nF,C_0402_1005Metric,181.76875,-82.55,180.0,bottom
C104,100nF,C_0402_1005Metric,200.81875,-82.55,180.0,bottom
C105,100nF,C_0402_1005Metric,219.86875,-82.55,180.0,bottom
C106,100nF,C_0402_1005Metric,238.91875,-82.55,180.0,bottom
C107,100nF,C_0402_1005Metric,257.96875,-82.55,180.0,bottom
C108,100nF,C_0402_1005Metric,41.275,-105.56875,0.0,bottom
C109,100nF,C_0402_1005Metric,62.70625,-105.56875,0.0,bottom
C11,100nF,C_0402_1005Metric,112.7125,-38.89375,0.0,bottom
C110,100nF,C_0402_1005Metric,84.1375,-105.56875,0.0,bottom
C111,100nF,C_0402_1005Metric,122.2375,-105.56875,0.0,bottom
C112,100nF,C_0402_1005Metric,153.9875,-101.6,270.0,bottom
C113,100nF,C_0402_1005Metric,169.8625,-105.56875,0.0,bottom
C114,100nF,C_0402_1005Metric,201.6125,-101.6,270.0,bottom
C115,100nF,C_0402_1005Metric,224.63125,-105.56875,0.0,bottom
C116,100nF,C_0402_1005Metric,243.68125,-105.56875,0.0,bottom
C117,100nF,C_0402_1005Metric,262.73125,-105.56875,0.0,bottom
C118,100pF,C_0402_1005Metric,243.254704,-71.401076,0.0,bottom
C119,100pF,C_0402_1005Metric,205.154704,-71.4375,0.0,bottom
C12,100nF,C_0402_1005Metric,131.7625,-38.89375,0.0,bottom
C120,100pF,C_0402_1005Metric,167.054704,-71.439515,0.0,bottom
C121,100pF,C_0402_1005Metric,128.160954,-71.4375,0.0,bottom
C122,100pF,C_0402_1005Metric,90.060954,-71.4375,0.0,bottom
C123,100pF,C_0402_1005Metric,46.2433,-71.4375,0.0,bottom
C124,100pF,C_0402_1005Metric,87.3125,-30.95625,0.0,bottom
C13,100nF,C_0402_1005Metric,150.8125,-38.89375,0.0,bottom
C14,100nF,C_0402_1005Metric,169.8625,-38.89375,0.0,bottom
C15,100nF,C_0402_1005Metric,188.9125,-38.89375,0.0,bottom
C16,100nF,C_0402_1005Metric,207.9625,-38.89375,0.0,bottom
C17,100nF,C_0402_1005Metric,227.0125,-38.89375,0.0,bottom
C18,100nF,C_0402_1005Metric,253.20625,-38.89375,0.0,bottom
C19,100nF,C_0402_1005Metric,38.89375,-57.94375,0.0,bottom
C2,100nF,C_0402_1005Metric,46.0375,-19.84375,0.0,bottom
C20,100nF,C_0402_1005Metric,60.325,-57.94375,0.0,bottom
C21,100nF,C_0402_1005Metric,79.375,-57.94375,0.0,bottom
C22,100nF,C_0402_1005Metric,98.425,-57.94375,0.0,bottom
C23,100nF,C_0402_1005Metric,117.475,-57.94375,0.0,bottom
C24,100nF,C_0402_1005Metric,136.525,-57.94375,0.0,bottom
C25,100nF,C_0402_1005Metric,155.575,-57.94375,0.0,bottom
C26,100nF,C_0402_1005Metric,174.625,-57.94375,0.0,bottom
C27,100nF,C_0402_1005Metric,193.675,-57.94375,0.0,bottom
C28,100nF,C_0402_1005Metric,212.725,-57.94375,0.0,bottom
C29,100nF,C_0402_1005Metric,231.775,-57.94375,0.0,bottom
