Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,45.574303,-61.886884,270.0,bottom
C2,100nF,C_0402_1005Metric,44.848806,-49.312201,90.0,bottom
C3,100nF,C_0402_1005Metric,249.570287,-49.860425,180.0,bottom
C4,1uF,C_0402_1005Metric,46.730752,-38.734964,180.0,bottom
C5,1uF,C_0402_1005Metric,46.976127,-43.770976,0.0,bottom
C6,100nF,C_0402_1005Metric,243.332,-46.83125,0.0,bottom
C10,100nF,C_0402_1005Metric,50.00625,-48.102962,90.0,bottom
C11,100nF,C_0402_1005Metric,56.339704,-56.073622,180.0,bottom
C12,100nF,C_0402_1005Metric,53.577271,-49.374806,90.0,bottom
C13,10uF,C_0603_1608Metric,48.41875,-47.625,90.0,bottom
C29,100nF,C_0402_1005Metric,56.346106,-54.997317,180.0,bottom
D2,SK6812MINI-E,SK6812-MINI-E,36.5125,-46.624,180.0,bottom
D3,SK6812MINI-E,SK6812-MINI-E,55.5625,-46.624,180.0,bottom
D4,SK6812MINI-E,SK6812-MINI-E,74.6125,-46.624,180.0,bottom
D5,SK6812MINI-E,SK6812-MINI-E,93.6625,-46.624,180.0,bottom
D6,SK6812MINI-E,SK6812-MINI-E,112.7125,-46.624,180.0,bottom
D7,SK6812MINI-E,SK6812-MINI-E,131.7625,-46.624,180.0,bottom
D8,SK6812MINI-E,SK6812-MINI-E,150.8125,-46.624,180.0,bottom
D9,SK6812MINI-E,SK6812-MINI-E,169.8625,-46.624,180.0,bottom
D10,SK6812MINI-E,SK6812-MINI-E,188.9125,-46.624,180.0,bottom
D11,SK6812MINI-E,SK6812-MINI-E,207.9625,-46.624,180.0,bottom
D12,SK6812MINI-E,SK6812-MINI-E,227.0125,-46.624,180.0,bottom
D13,SK6812MINI-E,SK6812-MINI-E,253.20625,-46.624,180.0,bottom
D14,SK6812MINI-E,SK6812-MINI-E,136.525,-65.184,0.0,bottom
D15,SK6812MINI-E,SK6812-MINI-E,117.475,-65.184,0.0,bottom
D16,SK6812MINI-E,SK6812-MINI-E,98.425,-65.184,0.0,bottom
D17,SK6812MINI-E,SK6812-MINI-E,79.375,-65.184,0.0,bottom
D18,SK6812MINI-E,SK6812-MINI-E,60.325,-65.184,0.0,bottom
D19,SK6812MINI-E,SK6812-MINI-E,38.89375,-65.184,0.0,bottom
D20,SK6812MINI-E,SK6812-MINI-E,255.5875,-65.184,0.0,bottom
D21,SK6812MINI-E,SK6812-MINI-E,231.775,-65.184,0.0,bottom
D22,SK6812MINI-E,SK6812-MINI-E,212.725,-65.184,0.0,bottom
D23,SK6812MINI-E,SK6812-MINI-E,193.675,-65.184,0.0,bottom
D24,SK6812MINI-E,SK6812-MINI-E,174.625,-65.184,0.0,bottom
D25,SK6812MINI-E,SK6812-MINI-E,155.575,-65.184,0.0,bottom
D26,SK6812MINI-E,SK6812-MINI-E,160.3375,-84.724,180.0,bottom
D27,SK6812MINI-E,SK6812-MINI-E,179.3875,-84.724,180.0,bottom
D28,SK6812MINI-E,SK6812-MINI-E,198.4375,-84.724,180.0,bottom
D29,SK6812MINI-E,SK6812-MINI-E,217.4875,-84.724,180.0,bottom
D30,SK6812MINI-E,SK6812-MINI-E,236.5375,-84.724,180.0,bottom
D31,SK6812MINI-E,SK6812-MINI-E,257.96875,-75.199,180.0,bottom
D32,SK6812MINI-E,SK6812-MINI-E,41.275,-84.724,180.0,bottom
D33,SK6812MINI-E,SK6812-MINI-E,65.0875,-84.724,180.0,bottom
D34,SK6812MINI-E,SK6812-MINI-E,84.1375,-84.724,180.0,bottom
D35,SK6812MINI-E,SK6812-MINI-E,103.1875,-84.724,180.0,bottom
D36,SK6812MINI-E,SK6812-MINI-E,122.2375,-84.724,180.0,bottom
D37,SK6812MINI-E,SK6812-MINI-E,141.2875,-84.724,180.0,bottom
D38,SK6812MINI-E,SK6812-MINI-E,151.167779,-104.164525,270.0,bottom
D39,SK6812MINI-E,SK6812-MINI-E,119.85625,-103.284,0.0,bottom
D40,SK6812MINI-E,SK6812-MINI-E,81.75625,-103.284,0.0,bottom
D41,SK6812MINI-E,SK6812-MINI-E,60.325,-103.284,0.0,bottom
D42,SK6812MINI-E,SK6812-MINI-E,38.89375,-103.284,0.0,bottom
D44,SK6812MINI-E,SK6812-MINI-E,257.96875,-84.724,180.0,bottom
D45,SK6812MINI-E,SK6812-MINI-E,260.35,-103.284,0.0,bottom
D46,SK6812MINI-E,SK6812-MINI-E,241.3,-103.284,0.0,bottom
D47,SK6812MINI-E,SK6812-MINI-E,222.25,-103.284,0.0,bottom
D48,SK6812MINI-E,SK6812-MINI-E,198.868745,-104.164525,270.0,bottom
D49,SK6812MINI-E,SK6812-MINI-E,167.48125,-103.284,0.0,bottom
F2,ASMD1206-150,Fuse_1206_3216Metric,243.332,-43.65625,270.0,bottom
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,211.93125,-53.18125,90.0,bottom
J2,USB_C sink board 1.3mm,USB_C_Receptacle_HRO_TYPE-C-31-M-12,240.0935,-34.13125,180.0,bottom
L1,60R@100MHz,L_1206_3216Metric,236.18825,-43.6625,90.0,bottom
R3,5.1k,R_0402_1005Metric,238.316089,-40.878126,90.0,bottom
R4,5.1k,R_0402_1005Metric,241.631622,-40.907466,90.0,bottom
R5,10k,R_0402_1005Metric,39.379783,-55.770538,90.0,bottom
SW1,SKQGABE010,SW_SPST_SKQG_WithoutStem,35.71875,-53.18125,270.0,bottom
U2,SLSS49E-3,SOT-23,74.6125,-41.275,0.0,bottom
U4,SLSS49E-3,SOT-23,36.5125,-41.275,0.0,bottom
