Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,45.574303,-61.886884,270.0,bottom
C2,100nF,C_0402_1005Metric,44.848806,-49.312201,90.0,bottom
C3,100nF,C_0402_1005Metric,33.65125,-30.95625,180.0,bottom
C4,1uF,C_0402_1005Metric,46.730752,-40.31006,180.0,bottom
C5,1uF,C_0402_1005Metric,46.976127,-45.346072,0.0,bottom
C6,100nF,C_0402_1005Metric,58.7375,-29.36875,0.0,bottom
C10,100nF,C_0402_1005Metric,50.00625,-48.102962,90.0,bottom
C11,100nF,C_0402_1005Metric,56.339704,-56.073622,180.0,bottom
C12,100nF,C_0402_1005Metric,53.577271,-49.374806,90.0,bottom
C13,10uF,C_0603_1608Metric,48.41875,-47.625,90.0,bottom
C29,100nF,C_0402_1005Metric,56.346106,-54.997317,180.0,bottom
D1,SK6812MINI-E,LED_6028R,141.2875,-27.329,180.0,bottom
D2,SK6812MINI-E,LED_6028R,36.5125,-46.379,0.0,bottom
D3,SK6812MINI-E,LED_6028R,55.5625,-46.379,0.0,bottom
D4,SK6812MINI-E,LED_6028R,74.6125,-46.379,0.0,bottom
D5,SK6812MINI-E,LED_6028R,93.6625,-46.379,0.0,bottom
D6,SK6812MINI-E,LED_6028R,112.7125,-46.379,0.0,bottom
D7,SK6812MINI-E,LED_6028R,131.7625,-46.379,0.0,bottom
D8,SK6812MINI-E,LED_6028R,150.8125,-46.379,0.0,bottom
D9,SK6812MINI-E,LED_6028R,169.8625,-46.379,0.0,bottom
D10,SK6812MINI-E,LED_6028R,188.9125,-46.379,0.0,bottom
D11,SK6812MINI-E,LED_6028R,207.9625,-46.379,0.0,bottom
D12,SK6812MINI-E,LED_6028R,227.0125,-46.379,0.0,bottom
D13,SK6812MINI-E,LED_6028R,253.20625,-46.379,0.0,bottom
D14,SK6812MINI-E,LED_6028R,136.525,-65.429,180.0,bottom
D15,SK6812MINI-E,LED_6028R,117.475,-65.429,180.0,bottom
D16,SK6812MINI-E,LED_6028R,98.425,-65.429,180.0,bottom
D17,SK6812MINI-E,LED_6028R,79.375,-65.429,180.0,bottom
D18,SK6812MINI-E,LED_6028R,60.325,-65.429,180.0,bottom
D19,SK6812MINI-E,LED_6028R,38.89375,-65.429,180.0,bottom
D20,SK6812MINI-E,LED_6028R,255.5875,-65.429,180.0,bottom
D21,SK6812MINI-E,LED_6028R,231.775,-65.429,180.0,bottom
D22,SK6812MINI-E,LED_6028R,212.725,-65.429,180.0,bottom
D23,SK6812MINI-E,LED_6028R,193.675,-65.429,180.0,bottom
D24,SK6812MINI-E,LED_6028R,174.625,-65.429,180.0,bottom
D25,SK6812MINI-E,LED_6028R,155.575,-65.429,180.0,bottom
D26,SK6812MINI-E,LED_6028R,160.3375,-84.479,0.0,bottom
D27,SK6812MINI-E,LED_6028R,179.3875,-84.479,0.0,bottom
D28,SK6812MINI-E,LED_6028R,198.4375,-84.479,0.0,bottom
D29,SK6812MINI-E,LED_6028R,217.4875,-84.479,0.0,bottom
D30,SK6812MINI-E,LED_6028R,236.5375,-84.479,0.0,bottom
D31,SK6812MINI-E,LED_6028R,257.96875,-74.954,0.0,bottom
D32,SK6812MINI-E,LED_6028R,41.275,-84.479,0.0,bottom
D33,SK6812MINI-E,LED_6028R,65.0875,-84.479,0.0,bottom
D34,SK6812MINI-E,LED_6028R,84.1375,-84.479,0.0,bottom
D35,SK6812MINI-E,LED_6028R,103.1875,-84.479,0.0,bottom
D36,SK6812MINI-E,LED_6028R,122.2375,-84.479,0.0,bottom
D37,SK6812MINI-E,LED_6028R,141.2875,-84.479,0.0,bottom
D38,SK6812MINI-E,LED_6028R,153.19375,-103.529,0.0,bottom
D39,SK6812MINI-E,LED_6028R,119.85625,-103.529,180.0,bottom
D40,SK6812MINI-E,LED_6028R,81.75625,-103.529,180.0,bottom
D41,SK6812MINI-E,LED_6028R,60.325,-103.529,180.0,bottom
D42,SK6812MINI-E,LED_6028R,38.89375,-103.529,180.0,bottom
D43,SK6812MINI-E,LED_6028R,122.2375,-27.329,180.0,bottom
D44,SK6812MINI-E,LED_6028R,257.96875,-84.479,0.0,bottom
D45,SK6812MINI-E,LED_6028R,260.35,-103.529,180.0,bottom
D46,SK6812MINI-E,LED_6028R,241.3,-103.529,180.0,bottom
D47,SK6812MINI-E,LED_6028R,222.25,-103.529,180.0,bottom
D48,SK6812MINI-E,LED_6028R,200.81875,-103.529,0.0,bottom
D49,SK6812MINI-E,LED_6028R,167.48125,-103.529,180.0,bottom
D50,SK6812MINI-E,LED_6028R,103.1875,-27.329,180.0,bottom
D51,SK6812MINI-E,LED_6028R,84.1375,-27.329,180.0,bottom
D52,SK6812MINI-E,LED_6028R,65.0875,-27.329,180.0,bottom
D53,SK6812MINI-E,LED_6028R,46.0375,-27.329,180.0,bottom
D54,SK6812MINI-E,LED_6028R,31.0125,-27.305,180.0,bottom
D55,SK6812MINI-E,LED_6028R,31.0125,-21.6725,180.0,bottom
D56,SK6812MINI-E,LED_6028R,31.0125,-16.04,180.0,bottom
F2,ASMD1206-150,Fuse_1206_3216Metric,58.7375,-26.19375,270.0,bottom
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,48.837697,-33.63125,270.0,bottom
J2,USB_C sink board 1.3mm,USB_C_Receptacle_HRO_TYPE-C-31-M-12,55.499,-13.890625,180.0,bottom
L1,60R@100MHz,L_1206_3216Metric,51.59375,-26.19375,90.0,bottom
R3,5.1k,R_0402_1005Metric,53.721589,-20.637501,90.0,bottom
R4,5.1k,R_0402_1005Metric,57.037122,-20.666841,90.0,bottom
