Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,236.061368,-54.558187,0.0,bottom
C2,100nF,C_0402_1005Metric,242.09375,-46.327472,90.0,bottom
C3,100nF,C_0402_1005Metric,260.5405,-43.561,180.0,bottom
C4,1uF,C_0402_1005Metric,245.299051,-43.317532,180.0,bottom
C5,1uF,C_0402_1005Metric,243.424261,-46.327472,270.0,bottom
C6,100nF,C_0402_1005Metric,245.294634,-42.346718,0.0,bottom
C10,100nF,C_0402_1005Metric,249.55125,-51.59375,180.0,bottom
C11,100nF,C_0402_1005Metric,245.26875,-60.63875,270.0,bottom
C12,100nF,C_0402_1005Metric,249.55125,-53.975,180.0,bottom
C13,10uF,C_0603_1608Metric,252.409461,-52.925494,180.0,bottom
C29,100nF,C_0402_1005Metric,246.345055,-60.645152,270.0,bottom
D2,SK6812MINI-E,LED_6028R,36.5125,-46.379,0.0,bottom
D3,SK6812MINI-E,LED_6028R,55.5625,-46.379,0.0,bottom
D4,SK6812MINI-E,LED_6028R,74.6125,-46.379,0.0,bottom
D5,SK6812MINI-E,LED_6028R,93.6625,-46.379,0.0,bottom
D6,SK6812MINI-E,LED_6028R,112.7125,-46.379,0.0,bottom
D7,SK6812MINI-E,LED_6028R,131.7625,-46.379,0.0,bottom
D8,SK6812MINI-E,LED_6028R,150.8125,-46.379,0.0,bottom
D9,SK6812MINI-E,LED_6028R,169.8625,-46.379,0.0,bottom
D10,SK6812MINI-E,LED_6028R,188.9125,-46.379,0.0,bottom
D11,SK6812MINI-E,LED_6028R,207.9625,-46.379,0.0,bottom
D12,SK6812MINI-E,LED_6028R,227.0125,-46.379,0.0,bottom
D13,SK6812MINI-E,LED_6028R,253.20625,-46.379,0.0,bottom
D14,SK6812MINI-E,LED_6028R,136.525,-65.429,180.0,bottom
D15,SK6812MINI-E,LED_6028R,117.475,-65.429,180.0,bottom
D16,SK6812MINI-E,LED_6028R,98.425,-65.429,180.0,bottom
D17,SK6812MINI-E,LED_6028R,79.375,-65.429,180.0,bottom
D18,SK6812MINI-E,LED_6028R,60.325,-65.429,180.0,bottom
D19,SK6812MINI-E,LED_6028R,38.89375,-65.429,180.0,bottom
D20,SK6812MINI-E,LED_6028R,255.5875,-65.429,180.0,bottom
D21,SK6812MINI-E,LED_6028R,231.775,-65.429,180.0,bottom
D22,SK6812MINI-E,LED_6028R,212.725,-65.429,180.0,bottom
D23,SK6812MINI-E,LED_6028R,193.675,-65.429,180.0,bottom
D24,SK6812MINI-E,LED_6028R,174.625,-65.429,180.0,bottom
D25,SK6812MINI-E,LED_6028R,155.575,-65.429,180.0,bottom
D26,SK6812MINI-E,LED_6028R,160.3375,-84.479,0.0,bottom
D27,SK6812MINI-E,LED_6028R,179.3875,-84.479,0.0,bottom
D28,SK6812MINI-E,LED_6028R,198.4375,-84.479,0.0,bottom
D29,SK6812MINI-E,LED_6028R,217.4875,-84.479,0.0,bottom
D30,SK6812MINI-E,LED_6028R,236.5375,-84.479,0.0,bottom
D31,SK6812MINI-E,LED_6028R,257.96875,-74.954,0.0,bottom
D32,SK6812MINI-E,LED_6028R,41.275,-84.479,0.0,bottom
D33,SK6812MINI-E,LED_6028R,65.0875,-84.479,0.0,bottom
D34,SK6812MINI-E,LED_6028R,84.1375,-84.479,0.0,bottom
D35,SK6812MINI-E,LED_6028R,103.1875,-84.479,0.0,bottom
D36,SK6812MINI-E,LED_6028R,122.2375,-84.479,0.0,bottom
D37,SK6812MINI-E,LED_6028R,141.2875,-84.479,0.0,bottom
D38,SK6812MINI-E,LED_6028R,153.19375,-103.529,0.0,bottom
D39,SK6812MINI-E,LED_6028R,119.85625,-103.529,180.0,bottom
D40,SK6812MINI-E,LED_6028R,81.75625,-103.529,180.0,bottom
D41,SK6812MINI-E,LED_6028R,60.325,-103.529,180.0,bottom
D42,SK6812MINI-E,LED_6028R,38.89375,-103.529,180.0,bottom
D44,SK6812MINI-E,LED_6028R,257.96875,-84.479,180.0,bottom
D45,SK6812MINI-E,LED_6028R,260.35,-103.529,180.0,bottom
D46,SK6812MINI-E,LED_6028R,241.3,-103.529,180.0,bottom
D47,SK6812MINI-E,LED_6028R,222.25,-103.529,180.0,bottom
D48,SK6812MINI-E,LED_6028R,200.81875,-103.529,0.0,bottom
D49,SK6812MINI-E,LED_6028R,167.48125,-103.529,180.0,bottom
F2,ASMD1206-150,Fuse_1206_3216Metric,244.475,-40.64,180.0,bottom
J2,USB_C sink board 1.3mm,USB_C_Receptacle_HRO_TYPE-C-31-M-12,240.0935,-34.13125,180.0,bottom
L1,60R@100MHz,L_1206_3216Metric,235.74375,-40.64,180.0,bottom
R3,5.1k,R_0402_1005Metric,238.91875,-40.48125,90.0,bottom
R4,5.1k,R_0402_1005Metric,241.553411,-40.481249,90.0,bottom
R5,10k,R_0402_1005Metric,257.25,-53.7275,90.0,bottom
SW1,SKQGABE010,SW_SPST_SKQG_WithoutStem,262.73125,-52.3875,0.0,bottom
U2,SLSS49E-3,SOT-23,74.6125,-41.275,0.0,bottom
U4,SLSS49E-3,SOT-23,36.5125,-41.275,0.0,bottom
U5,SLSS49E-3,SOT-23,55.5625,-41.275,0.0,bottom
U6,SLSS49E-3,SOT-23,93.6625,-41.275,0.0,bottom
U7,SLSS49E-3,SOT-23,112.7125,-41.275,0.0,bottom
U8,SLSS49E-3,SOT-23,131.7625,-41.275,0.0,bottom
U9,SLSS49E-3,SOT-23,150.8125,-41.275,0.0,bottom
U10,SLSS49E-3,SOT-23,169.8625,-41.275,0.0,bottom
U11,SLSS49E-3,SOT-23,227.0125,-41.275,0.0,bottom
U12,SLSS49E-3,SOT-23,253.20625,-41.275,0.0,bottom
U13,SLSS49E-3,SOT-23,188.9125,-41.275,0.0,bottom
U14,SLSS49E-3,SOT-23,207.9625,-41.275,0.0,bottom
U15,SLSS49E-3,SOT-23,38.89375,-60.325,0.0,bottom
U16,SLSS49E-3,SOT-23,60.325,-60.325,0.0,bottom
U17,SLSS49E-3,SOT-23,117.475,-60.325,0.0,bottom
U18,SLSS49E-3,SOT-23,136.525,-60.325,0.0,bottom
U19,SLSS49E-3,SOT-23,155.575,-60.325,0.0,bottom
U20,SLSS49E-3,SOT-23,174.625,-60.325,0.0,bottom
U21,SLSS49E-3,SOT-23,231.775,-60.325,0.0,bottom
U22,SLSS49E-3,SOT-23,255.5875,-60.325,0.0,bottom
U23,SLSS49E-3,SOT-23,79.375,-60.325,0.0,bottom
U24,SLSS49E-3,SOT-23,98.425,-60.325,0.0,bottom
U25,SLSS49E-3,SOT-23,193.675,-60.325,0.0,bottom
U26,SLSS49E-3,SOT-23,212.725,-60.325,0.0,bottom
U27,SLSS49E-3,SOT-23,41.275,-79.375,0.0,bottom
U28,SLSS49E-3,SOT-23,65.0875,-79.375,0.0,bottom
U29,SLSS49E-3,SOT-23,122.2375,-79.375,0.0,bottom
U30,SLSS49E-3,SOT-23,141.2875,-79.375,0.0,bottom
U31,SLSS49E-3,SOT-23,160.3375,-79.375,0.0,bottom
U32,SLSS49E-3,SOT-23,179.3875,-79.375,0.0,bottom
U33,SLSS49E-3,SOT-23,236.5375,-79.375,0.0,bottom
U34,SLSS49E-3,SOT-23,257.96875,-79.375,0.0,bottom
U35,SLSS49E-3,SOT-23,84.1375,-79.375,0.0,bottom
U36,SLSS49E-3,SOT-23,103.1875,-79.375,0.0,bottom
U37,SLSS49E-3,SOT-23,198.4375,-79.375,0.0,bottom
U38,SLSS49E-3,SOT-23,217.4875,-79.375,0.0,bottom
U39,SLSS49E-3,SOT-23,38.89375,-98.425,0.0,bottom
U40,SLSS49E-3,SOT-23,60.325,-98.425,0.0,bottom
U41,SLSS49E-3,SOT-23,153.19375,-98.425,0.0,bottom
U42,SLSS49E-3,SOT-23,167.48125,-98.425,0.0,bottom
U43,SLSS49E-3,SOT-23,200.81875,-98.425,0.0,bottom
U44,SLSS49E-3,SOT-23,222.25,-98.425,0.0,bottom
U45,SLSS49E-3,SOT-23,257.96875,-69.85,0.0,bottom
U46,74AHCT1G125,TSOT-23-5,260.0325,-46.355,90.0,bottom
U47,SLSS49E-3,SOT-23,81.75625,-98.425,0.0,bottom
U48,SLSS49E-3,SOT-23,119.85625,-98.425,0.0,bottom
U49,SLSS49E-3,SOT-23,241.3,-98.425,0.0,bottom
U50,SLSS49E-3,SOT-23,260.35,-98.425,0.0,bottom
U51,74HC4051,TSSOP16,246.615101,-73.836595,270.0,bottom
U52,XC6206PxxxMR-Regulator_Linear,SOT-23,245.805511,-45.869972,90.0,bottom
U53,74HC4051,TSSOP16,207.721351,-73.836595,270.0,bottom
U54,74HC4051,TSSOP16,172.002601,-73.816125,270.0,bottom
U55,74HC4051,TSSOP16,129.140101,-73.816125,270.0,bottom
U56,74HC4051,TSSOP16,91.833851,-73.81814,270.0,bottom
U57,74HC4051,TSSOP16,52.513555,-73.81814,270.0,bottom
U58,PRTR5V0U2X,SOT-143,240.50625,-43.65625,180.0,bottom
U59,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,242.8875,-53.975,45.0,bottom
